Fish_ID,Cohort,Treatment_Level,Experiment_Type,Total_Length,Standard_Length,Height,Weight,DB_Bites,CB_Bites,DE_Bites,CE_Bites,DB_Mass,CB_Mass,DE_Mass,CE_Mass
NL1,NA,6,SuS,12.1,10.4,5,38.86,1,83,32,17,0.16,0.49,0.79,0.41
NL2,NA,9,SuS,14.2,12.3,5.1,53.02,0,0,0,0,0.16,0.51,0.31,-0.15
NL3,NA,12,SuS,12.9,10.9,4.8,41.53,0,0,0,0,0.14,0.32,0.56,0.11
NL4,NA,6,SuS,12.6,10.9,5.1,38.83,96,21,283,163,0.38,0.11,0.37,0.22
NL5,NA,9,SuS,15.8,13.6,6.2,84.31,26,167,56,119,0.17,0.88,0.24,0.49
NL6,1,6,SuS,12.6,10.8,5.1,39.24,0,0,0,0,0.06,0.07,0.02,0.17
NL7,1,6,SuS,11.1,9.9,4.4,26.3,18,3,11,37,0.07,0.06,0.17,-0.18
NL8,1,6,SuS,11.7,10,4.4,32.64,0,0,0,0,0.01,1.03,0.03,0.38
NL9,1,6,SuS,10.5,8.9,4.2,23.72,0,0,0,0,0.03,-1,0.04,-0.36
NL10,2,9,SuS,12.3,10.5,5,37.06,63,55,19,19,0.25,0.22,0.55,0.23
NL11,2,9,SuS,10.7,9.1,4.2,26.21,39,19,12,0,1.3,0.14,0.32,0.29
NL12,2,9,SuS,10.4,8.8,4.1,21.95,3,0,19,0,0.12,0.12,0.25,0.23
NL13,3,12,SuS,10.3,8.7,4.1,21.23,0,0,0,0,0.08,0.26,0.6,0.05
NL14,3,12,SuS,11.1,9.7,4.2,26.75,67,146,59,52,0.73,0.81,-0.71,0.23
NL15,3,12,SuS,10.3,8.8,4.3,19.86,171,0,18,0,1.01,1.26,0.72,0.06
NL16,4,6,SuS,11.8,10.1,4.8,31.72,0,0,0,0,0,0.04,0.04,0
NL17,4,6,SuS,12.8,10.9,5.1,39.93,0,0,0,0,0.13,0.57,0.02,-0.09
NL18,5,9,SuS,10.7,9.1,4.2,21.55,15,70,85,34,0.04,0.16,0.06,0.18
NL19,5,9,SuS,13.1,11.3,5.2,44.45,52,51,10,11,0.55,0.11,0.04,0.1
NL20,5,9,SuS,12.5,10.9,5.2,37.27,41,86,2,1,0.18,0.06,-0.02,0.02
NL21,6,6,SuS,11.6,9.9,4.7,30.62,1,1,19,4,0.06,0.04,0.09,0
NL22,6,6,SuS,11.9,10.1,4.8,32.02,0,0,0,0,0.09,0.05,0.06,-0.04
NL23,6,9,SuS,13.9,12,5.3,55.57,0,0,0,0,0.33,0.07,0.1,0.01
NL24,7,12,SuS,13.2,11.4,5.4,45.42,0,0,0,0,0.06,0.02,-0.03,0.09
NL25,7,12,SuS,13,11.1,5,38.41,0,0,0,0,0.08,0.06,0.01,0
NL26,7,12,SuS,15.3,13.1,6,70.77,0,0,0,0,0.25,0.11,-0.02,0.08
NL27,7,12,SuS,12,10.2,4.8,31.11,0,0,0,0,0.08,0.09,0.04,0.46
NL28,8,9,SuS,12.6,10.8,5.2,40.14,96,86,124,114,0.94,0.37,0.22,0.24
NL29,8,12,SuS,12.7,10.9,5,39.75,0,0,0,0,0.09,0.11,0.13,0.07
NL30,8,12,SuS,12.2,10.4,4.9,37.15,0,0,0,0,0.13,0.26,0.05,0.1
NL31,10,6,SuS,11.2,9.4,4.8,30.52,105,4,11,58,0.69,0.1,0.25,0.04
NL32,10,6,SuS,12.6,10.9,5.1,36.82,116,21,127,13,0.36,0.04,0.3,0.05
NL33,10,6,SuS,14.1,11.9,5.7,60.07,219,132,8,2,1.97,0.82,0.01,-0.07
NL34,10,6,SuS,13.2,11.4,5.6,46.35,103,2,11,48,1.2,NA,0.28,0.08
NL35,11,12,SuS,12.1,10.5,4.9,36.02,0,0,0,0,0.05,0,0.07,0.07
NL36,11,12,SuS,13.9,12,5.6,52.87,36,20,28,8,0.24,0.12,0.1,0.07
NL1,NA,6,SeS,12.1,10.4,5,38.86,171,0,8,12,0.8,0.05,0,0.17
NL2,NA,9,SeS,14.2,12.3,5.1,53.02,0,0,0,0,0.02,0.08,0,0.13
NL3,NA,12,SeS,12.9,10.9,4.8,41.53,0,0,0,0,0.07,0.11,0,0.07
NL4,NA,6,SeS,12.6,10.9,5.1,38.83,108,111,137,46,0.57,0.4,0.22,-0.06
NL5,NA,9,SeS,15.8,13.6,6.2,84.31,166,0,205,84,1.1,-0.08,1.07,0.31
NL6,1,6,SeS,12.6,10.8,5.1,39.24,0,0,0,0,0.09,0.27,-0.21,0.1
NL7,1,6,SeS,11.1,9.9,4.4,26.3,70,15,79,74,0.57,-0.07,1.98,-0.17
NL8,1,6,SeS,11.7,10,4.4,32.64,0,0,0,0,-0.03,0.07,-0.15,-0.03
NL9,1,6,SeS,10.5,8.9,4.2,23.72,7,31,32,29,0.73,0.29,0.06,0.26
NL10,2,9,SeS,12.3,10.5,5,37.06,108,11,10,,0.09,0.12,-1.18,0.01
NL11,2,9,SeS,10.7,9.1,4.2,26.21,102,17,10,4,0.4,-0.02,0.6,0
NL12,2,9,SeS,10.4,8.8,4.1,21.95,0,0,0,0,0.18,-0.49,0.02,0.86
NL13,3,12,SeS,10.3,8.7,4.1,21.23,56,70,22,348,0.06,0.11,0.03,0.25
NL14,3,12,SeS,11.1,9.7,4.2,26.75,6,51,112,19,0.05,0.15,0.37,0.03
NL15,3,12,SeS,10.3,8.8,4.3,19.86,163,0,13,0,0.17,0.11,0.02,0.04
NL16,4,6,SeS,11.8,10.1,4.8,31.72,0,0,0,0,0.08,0.04,0,0.1
